Rizziconi comune,Rizziconi comune.1
,
Rizziconi – VedutaParco comunale giudice Rosario Livatino,Rizziconi – VedutaParco comunale giudice Rosario Livatino
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Alessandro Giovinazzo (lista civica) dal 22-10-2018
Territorio,Territorio
Coordinate,38°24′44″N 15°57′32″E
Altitudine,87 m s.l.m.
Superficie,"40,22 km²"
Abitanti,7 599[1] (30-11-2025)
Densità,"188,94 ab./km²"
Frazioni,"Cannavà, Cirello, Drosi, Russo, Spina"
Comuni confinanti,"Cittanova,Gioia Tauro, Oppido Mamertina, Rosarno, Seminara, Taurianova"
Altre informazioni,Altre informazioni
Cod. postale,89016
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080065
Cod. catastale,H359
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,rizziconesi
Patrono,Teodoro di Amasea
Giorno festivo,9 novembre
Cartografia,Cartografia
Rizziconi,Rizziconi
Rizziconi – MappaPosizione del comune di Rizziconi all'interno della città metropolitana di Reggio Calabria,Rizziconi – MappaPosizione del comune di Rizziconi all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
