Platì comune,Platì comune.1
,
Platì – Veduta,Platì – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Giovanni Sarica (vicesindaco f.f.) (lista civica) dal 15-07-2025
Territorio,Territorio
Coordinate,38°13′N 16°03′E
Altitudine,300 m s.l.m.
Superficie,"50,87 km²"
Abitanti,3 654[1] (30-11-2025)
Densità,"71,83 ab./km²"
Frazioni,"Cirella, Lauro, Senoli, Gioppo"
Comuni confinanti,"Ardore, Benestare, Careri, Ciminà, Oppido Mamertina, Santa Cristina d'Aspromonte, Varapodio"
Altre informazioni,Altre informazioni
Cod. postale,89039
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080060
Cod. catastale,G735
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 111 GG[3]"
Nome abitanti,platiesi (calabr. Platioti)
Patrono,Maria SS. di Loreto
Giorno festivo,10 dicembre
Cartografia,Cartografia
Platì,Platì
Platì – MappaPosizione del comune di Platì all'interno della città metropolitana di Reggio Calabria,Platì – MappaPosizione del comune di Platì all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
