Locri comune,Locri comune.1
,
"Locri – VedutaPanorama da Gerace, 2023","Locri – VedutaPanorama da Gerace, 2023"
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,"Giuseppe Fontana (lista civica ""Tutti per Locri"") dal 16-5-2023"
Data di istituzione,24 luglio 1905
Territorio,Territorio
Coordinate,38°14′N 16°16′E
Altitudine,7 m s.l.m.
Superficie,"25,75 km²"
Abitanti,11 858[1] (30-11-2025)
Densità,"460,5 ab./km²"
Frazioni,"Baldari, Basilea, Ianchina, Mantenea, Merici, Moschetta, San Fili"
Comuni confinanti,"Antonimina, Gerace, Portigliola, Siderno"
Altre informazioni,Altre informazioni
Cod. postale,89044
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080043
Cod. catastale,D976
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,locresi
Patrono,santa Caterina d'Alessandria
Giorno festivo,25 novembre
Cartografia,Cartografia
Locri,Locri
Locri – MappaPosizione del comune di Locri all'interno della città metropolitana di Reggio Calabria,Locri – MappaPosizione del comune di Locri all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
