Roccaforte del Greco comune,Roccaforte del Greco comune.1
,
Roccaforte del Greco – Veduta,Roccaforte del Greco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Domenico Penna (lista civica) dal 1-6-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,38°03′N 15°54′E
Altitudine,971 m s.l.m.
Superficie,"43,86 km²"
Abitanti,292[1] (30-11-2025)
Densità,"6,66 ab./km²"
Frazioni,Ghorio di Roccaforte
Comuni confinanti,"Bagaladi, Cardeto, Condofuri, Reggio Calabria, Roghudi, San Lorenzo, Santo Stefano in Aspromonte, Scilla, Sinopoli"
Altre informazioni,Altre informazioni
Cod. postale,89060
Prefisso,0965
Fuso orario,UTC+1
Codice ISTAT,080066
Cod. catastale,H408
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 548 GG[3]"
Nome abitanti,roccafortisciani
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Roccaforte del Greco,Roccaforte del Greco
Roccaforte del Greco – MappaPosizione del comune di Roccaforte del Greco all'interno della città metropolitana di Reggio Calabria,Roccaforte del Greco – MappaPosizione del comune di Roccaforte del Greco all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
