Laganadi comune,Laganadi comune.1
,
Laganadi – Veduta,Laganadi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Michele Spadaro (lista civica) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,38°11′15.07″N 15°45′20.38″E
Altitudine,499 m s.l.m.
Superficie,"8,19 km²"
Abitanti,320[1] (30-11-2025)
Densità,"39,07 ab./km²"
Frazioni,Lucia
Comuni confinanti,"Calanna, Reggio Calabria, San Roberto, Sant'Alessio in Aspromonte, Santo Stefano in Aspromonte"
Altre informazioni,Altre informazioni
Cod. postale,89050
Prefisso,0965
Fuso orario,UTC+1
Codice ISTAT,080041
Cod. catastale,E402
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,laganioti
Patrono,santa Maria delle Grazie
Giorno festivo,2ª domenica di agosto
Cartografia,Cartografia
Laganadi,Laganadi
Laganadi – MappaPosizione del comune di Laganadi all'interno della città metropolitana di Reggio Calabria,Laganadi – MappaPosizione del comune di Laganadi all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
