Benestare comune,Benestare comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Domenico Mantegna (lista civica) dal 27-5-2019 (2º mandato dall'11-6-2024)
Data di istituzione,4-5-1811
Territorio,Territorio
Coordinate,38°11′N 16°08′E
Altitudine,250 m s.l.m.
Superficie,"18,72 km²"
Abitanti,2 490[1] (30-11-2025)
Densità,"133,01 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Ardore, Bovalino, Careri, Platì, San Luca"
Altre informazioni,Altre informazioni
Cod. postale,89030
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080008
Cod. catastale,A780
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 007 GG[3]"
Nome abitanti,benestaresi
Patrono,san Michele arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Benestare,Benestare
Benestare – MappaPosizione del comune di Benestare all'interno della città metropolitana di Reggio Calabria,Benestare – MappaPosizione del comune di Benestare all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
