Fiumara comune,Fiumara comune.1
,
Fiumara – Veduta,Fiumara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Lara Maria Quattrone (commissario prefettizio) dal 12-09-2025
Territorio,Territorio
Coordinate,38°12′44.24″N 15°41′43.16″E
Altitudine,192 m s.l.m.
Superficie,"6,59 km²"
Abitanti,788[1] (30-11-2025)
Densità,"119,58 ab./km²"
Frazioni,"Baglio Adorno, Croce, Matiniti, San Nicola, San Pietro, San Rocco"
Comuni confinanti,"Calanna, Campo Calabro, Reggio Calabria, San Roberto, Scilla, Villa San Giovanni"
Altre informazioni,Altre informazioni
Cod. postale,89050
Prefisso,0965
Fuso orario,UTC+1
Codice ISTAT,080034
Cod. catastale,D619
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,fiumaresi (sciumaroti in dialetto reggino)
Patrono,Immacolata Concezione
Giorno festivo,8 dicembre
Cartografia,Cartografia
Fiumara,Fiumara
Fiumara – MappaPosizione del comune di Fiumara all'interno della città metropolitana di Reggio Calabria,Fiumara – MappaPosizione del comune di Fiumara all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
