Martone comune,Martone comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Giorgio Imperitura (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,38°21′N 16°17′E
Altitudine,290 m s.l.m.
Superficie,"8,26[2] km²"
Abitanti,477[3] (30-11-2025)
Densità,"57,75 ab./km²"
Comuni confinanti,"Fabrizia (VV), Gioiosa Ionica, Grotteria, Nardodipace (VV), Roccella Ionica, San Giovanni di Gerace"
Altre informazioni,Altre informazioni
Cod. postale,89040
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080047
Cod. catastale,E993
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[4]
Cl. climatica,"zona C, 1 218 GG[5]"
Nome abitanti,Martonesi (Martunisi)
Patrono,San Giorgio Martire
Giorno festivo,23 aprile e seconda Domenica di agosto
Cartografia,Cartografia
Martone,Martone
Martone – MappaPosizione del comune di Martone all'interno della città metropolitana di Reggio Calabria,Martone – MappaPosizione del comune di Martone all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
