Cinquefrondi comune,Cinquefrondi comune.1
,
Cinquefrondi – Veduta,Cinquefrondi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Michele Conia (lista civica) dal 1-6-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,38°25′N 16°06′E
Altitudine,257 m s.l.m.
Superficie,"29,95 km²"
Abitanti,6 237[1] (30-11-2025)
Densità,"208,25 ab./km²"
Comuni confinanti,"Anoia, Giffone, Mammola, Polistena, San Giorgio Morgeto"
Altre informazioni,Altre informazioni
Cod. postale,89021
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080027
Cod. catastale,C710
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 191 GG[3]"
Nome abitanti,cinquefrondesi
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio
Cartografia,Cartografia
Cinquefrondi,Cinquefrondi
Cinquefrondi – MappaPosizione del comune di Cinquefrondi all'interno della città metropolitana di Reggio Calabria,Cinquefrondi – MappaPosizione del comune di Cinquefrondi all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
