Ferruzzano comune,Ferruzzano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Domenico Silvio Pizzi (lista civica) dal 5-10-2021
Territorio,Territorio
Coordinate,38°02′N 16°05′E
Altitudine,470 m s.l.m.
Superficie,"19,11 km²"
Abitanti,686[1] (30-11-2025)
Densità,"35,9 ab./km²"
Frazioni,"Ferruzzano Marina, Ferruzzano Superiore, Saccuti"
Comuni confinanti,"Bianco, Bruzzano Zeffirio, Caraffa del Bianco, Sant'Agata del Bianco"
Altre informazioni,Altre informazioni
Cod. postale,89030
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080033
Cod. catastale,D557
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,ferruzzanoti
Patrono,san Giuseppe
Giorno festivo,"19 marzo, prima domenica di agosto"
Cartografia,Cartografia
Ferruzzano,Ferruzzano
Ferruzzano – MappaPosizione del comune di Ferruzzano all'interno della città metropolitana di Reggio Calabria,Ferruzzano – MappaPosizione del comune di Ferruzzano all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
