Portigliola comune,Portigliola comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Rocco Luglio (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,38°14′N 16°12′E
Altitudine,101 m s.l.m.
Superficie,6 km²
Abitanti,995[1] (30-11-2025)
Densità,"165,83 ab./km²"
Frazioni,"Lentù, Liserà, Marina di Portigliola, Dromo, Quote San Francesco, Piraino, Petti, Saitta, Castellace, Stranghilò."
Comuni confinanti,"Antonimina, Locri, Sant'Ilario dello Ionio"
Altre informazioni,Altre informazioni
Cod. postale,89040
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080062
Cod. catastale,G905
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,portigliolesi
Patrono,san Leonardo
Giorno festivo,6 novembre (si festeggia la domenica successiva)
Cartografia,Cartografia
Portigliola,Portigliola
Portigliola – MappaPosizione del comune di Portigliola all'interno della città metropolitana di Reggio Calabria,Portigliola – MappaPosizione del comune di Portigliola all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
