Gioiosa Ionica comune,Gioiosa Ionica comune.1
,
Gioiosa Ionica – VedutaPanorama con vista della Vallata del Torbido,Gioiosa Ionica – VedutaPanorama con vista della Vallata del Torbido
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Luca Ritorto (lista civica) dal 16-5-2023
Territorio,Territorio
Coordinate,38°20′N 16°18′E
Altitudine,120 m s.l.m.
Superficie,"36,07 km²"
Abitanti,6 847[1] (30-11-2025)
Densità,"189,83 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Grotteria, Marina di Gioiosa Ionica, Martone, Roccella Ionica"
Altre informazioni,Altre informazioni
Cod. postale,89042
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080039
Cod. catastale,E044
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 010 GG[3]"
Nome abitanti,gioiosani (ggejusani)
Patrono,san Rocco
Giorno festivo,Ultima Domenica di agosto
Cartografia,Cartografia
Gioiosa Ionica,Gioiosa Ionica
Gioiosa Ionica – MappaPosizione del comune di Gioiosa Ionica all'interno della città metropolitana di Reggio Calabria,Gioiosa Ionica – MappaPosizione del comune di Gioiosa Ionica all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
