Santa Cristina d'Aspromonte comune,Santa Cristina d'Aspromonte comune.1
,
Santa Cristina d'Aspromonte – Veduta,Santa Cristina d'Aspromonte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Salvatore Papalia (lista civica) dall'11-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,38°15′15.7″N 15°58′13.2″E
Altitudine,514 m s.l.m.
Superficie,"23,41 km²"
Abitanti,708[1] (30-11-2025)
Densità,"30,24 ab./km²"
Frazioni,Lubrichi
Comuni confinanti,"Careri, Cosoleto, Oppido Mamertina, Platì, San Luca, Scido"
Altre informazioni,Altre informazioni
Cod. postale,89056
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080078
Cod. catastale,I176
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 729 GG[3]"
Nome abitanti,Cristinesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Santa Cristina d'Aspromonte,Santa Cristina d'Aspromonte
Santa Cristina d'Aspromonte – MappaPosizione del comune di Santa Cristina d'Aspromonte all'interno della città metropolitana di Reggio Calabria,Santa Cristina d'Aspromonte – MappaPosizione del comune di Santa Cristina d'Aspromonte all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
