Staiti comune,Staiti comune.1
,
Staiti – Veduta,Staiti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Giovanna Pellicanò (lista civica Il futuro è nelle radici) dal 12-6-2022
Territorio,Territorio
Coordinate,38°00′N 16°02′E
Altitudine,550 m s.l.m.
Superficie,"16,31 km²"
Abitanti,163[1] (30-11-2025)
Densità,"9,99 ab./km²"
Frazioni,"Farcò, Tridetti"
Comuni confinanti,"Africo, Bova, Brancaleone, Bruzzano Zeffirio, Palizzi"
Altre informazioni,Altre informazioni
Cod. postale,89030
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080090
Cod. catastale,I936
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,staitesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Staiti,Staiti
Staiti – MappaPosizione del comune di Staiti all'interno della città metropolitana di Reggio Calabria,Staiti – MappaPosizione del comune di Staiti all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
