Calanna comune,Calanna comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Domenico Romeo (lista civica) dall'8-5-2012 (3º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,38°11′N 15°43′E
Altitudine,511 m s.l.m.
Superficie,"10,97 km²"
Abitanti,735[1] (30-11-2025)
Densità,67 ab./km²
Frazioni,"Milanesi, Mulini, Rosaniti, Villa Mesa"
Comuni confinanti,"Fiumara, Laganadi, Reggio Calabria, San Roberto"
Altre informazioni,Altre informazioni
Cod. postale,89050
Prefisso,0965
Fuso orario,UTC+1
Codice ISTAT,080016
Cod. catastale,B379
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,calannesi (calagnoti in dialetto reggino)
Patrono,Madonna del Rosario
Giorno festivo,7 ottobre
Cartografia,Cartografia
Calanna,Calanna
Calanna – MappaPosizione del comune di Calanna all'interno della città metropolitana di Reggio Calabria,Calanna – MappaPosizione del comune di Calanna all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
