Ciminà comune,Ciminà comune.1
,
Ciminà – Veduta,Ciminà – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Giovanni Mangiameli (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,38°15′N 16°08′E
Altitudine,312 m s.l.m.
Superficie,"49,24 km²"
Abitanti,509[1] (30-11-2025)
Densità,"10,34 ab./km²"
Comuni confinanti,"Antonimina, Ardore, Cittanova, Molochio, Platì, Sant'Ilario dello Ionio, Varapodio"
Altre informazioni,Altre informazioni
Cod. postale,89040
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080026
Cod. catastale,C695
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 137 GG[3]"
Nome abitanti,ciminesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre e la prima domenica di maggio
Cartografia,Cartografia
Ciminà,Ciminà
Ciminà – MappaPosizione del comune di Ciminà all'interno della città metropolitana di Reggio Calabria,Ciminà – MappaPosizione del comune di Ciminà all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
