Stilo comune,Stilo comune.1
,
Stilo – VedutaStilo dall'alto (agosto 2016),Stilo – VedutaStilo dall'alto (agosto 2016)
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,"Giorgio Antonio Tropeano (lista civica ""Nuovo Capitolo per Stilo"") dal 4-10-2021"
Territorio,Territorio
Coordinate,38°29′N 16°28′E
Altitudine,400 m s.l.m.
Superficie,"78,11 km²"
Abitanti,2 309[1] (30-11-2025)
Densità,"29,56 ab./km²"
Frazioni,"Bordingiano, Caldarella, Ferdinandea, Gatticello, Mila, Vinciguerra, Rosito, Guercia, Maroni, Napi, Malafranó, Nipitino"
Comuni confinanti,"Bivongi, Brognaturo (VV), Camini, Guardavalle (CZ), Monasterace, Mongiana (VV), Nardodipace (VV), Pazzano, Serra San Bruno (VV), Spadola (VV), Stignano"
Altre informazioni,Altre informazioni
Cod. postale,89049
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080092
Cod. catastale,I956
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 490 GG[3]"
Nome abitanti,stilidi o stilesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Stilo,Stilo
Stilo – MappaPosizione del comune di Stilo all'interno della provincia di Reggio Calabria,Stilo – MappaPosizione del comune di Stilo all'interno della provincia di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
