Roghudi comune,Roghudi comune.1
,
Roghudi – VedutaRoghudi Vecchio,Roghudi – VedutaRoghudi Vecchio
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Pierpaolo Zavettieri (lista civica) dal 6-6-2016 (2º mandato dal 5-10-2021)
Territorio,Territorio
Coordinate,38°02′56″N 15°54′57″E
Altitudine,55 m s.l.m.
Superficie,"46,92 km²"
Abitanti,904[1] (30-11-2025)
Densità,"19,27 ab./km²"
Frazioni,"Ghorìo, Roghudi Vecchio (entrambe disabitate)"
Comuni confinanti,"Africo, Bova, Condofuri, Cosoleto, Melito di Porto Salvo, Roccaforte del Greco, Sinopoli"
Altre informazioni,Altre informazioni
Cod. postale,89060
Prefisso,0965
Fuso orario,UTC+1
Codice ISTAT,080068
Cod. catastale,H489
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,roghudesi
Patrono,Madonna delle Grazie
Giorno festivo,2 luglio
Cartografia,Cartografia
Roghudi,Roghudi
Roghudi – MappaPosizione del comune di Roghudi nella città metropolitana di Reggio Calabria,Roghudi – MappaPosizione del comune di Roghudi nella città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
