Mammola comune,Mammola comune.1
,
Mammola – VedutaScorcio panoramico del borgo,Mammola – VedutaScorcio panoramico del borgo
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Stefano Filippo Raschellà (lista civica) dal 7-6-2016 (2º mandato dal 5-10-2021)
Territorio,Territorio
Coordinate,38°22′N 16°14′E
Altitudine,240 m s.l.m.
Superficie,"81,07 km²"
Abitanti,2 338[1] (30-11-2025)
Densità,"28,84 ab./km²"
Frazioni,"Gesotta, Borgo Chiusa, San Todaro, Aspalmo, Reito, Acone, Malafrinà, Piani di Canolo, Cerasara, Pilla, Villaggio Limina, San Nicodemo, Cardeto, San Filippo, Santa Barbara, Neblà, Brucuvelano, Celano, Russo, Giacco, Caderni, Sansone, San Sergio."
Comuni confinanti,"Agnana Calabra, Canolo, Cinquefrondi, Galatro, Giffone, Grotteria, San Giorgio Morgeto, Siderno"
Altre informazioni,Altre informazioni
Cod. postale,89045
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080044
Cod. catastale,E873
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 156 GG[3]"
Nome abitanti,mammolesi
Patrono,san Nicodemo A.B.
Giorno festivo,festa patronale 12 marzo e prima domenica di settembre
Cartografia,Cartografia
Mammola,Mammola
Mammola – MappaPosizione del comune di Mammola all'interno della città metropolitana di Reggio Calabria,Mammola – MappaPosizione del comune di Mammola all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
