Galatro comune,Galatro comune.1
,
Galatro – VedutaGalatro vista dal ponte sul fiume Metramo,Galatro – VedutaGalatro vista dal ponte sul fiume Metramo
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Sandro Sorbara (lista civica) dal 5-10-2021
Territorio,Territorio
Coordinate,38°28′N 16°07′E
Altitudine,158 m s.l.m.
Superficie,"51,34 km²"
Abitanti,1 390[1] (30-11-2025)
Densità,"27,07 ab./km²"
Comuni confinanti,"Fabrizia (VV), Feroleto della Chiesa, Giffone, Grotteria, Laureana di Borrello, Mammola, Maropati, San Pietro di Caridà"
Altre informazioni,Altre informazioni
Cod. postale,89054
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080035
Cod. catastale,D864
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 985 GG[3]"
Nome abitanti,galatresi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Galatro,Galatro
Galatro – MappaPosizione del comune di Galatro all'interno della città metropolitana di Reggio Calabria,Galatro – MappaPosizione del comune di Galatro all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
