Sant'Ilario dello Ionio comune,Sant'Ilario dello Ionio comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Pasquale Brizzi (Forza Sant'Ilario) dal 09-06-2024
Data di istituzione,4-5-1811
Territorio,Territorio
Coordinate,38°13′N 16°12′E
Altitudine,128 m s.l.m.
Superficie,14 km²
Abitanti,1 304[1] (30-11-2025)
Densità,"93,14 ab./km²"
Frazioni,"Condojanni, Marina di Sant'Ilario, Quarantano–Cardesi"
Comuni confinanti,"Antonimina, Ardore, Ciminà, Portigliola"
Altre informazioni,Altre informazioni
Cod. postale,89040
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080082
Cod. catastale,I341
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,santilariesi
Patrono,sant'Ilarione Abate
Giorno festivo,21 ottobre (festa l'ultima domenica di ottobre)
Cartografia,Cartografia
Sant'Ilario dello Ionio,Sant'Ilario dello Ionio
Sant'Ilario dello Ionio – MappaPosizione del comune di Sant'Ilario dello Ionio all'interno della città metropolitana di Reggio Calabria,Sant'Ilario dello Ionio – MappaPosizione del comune di Sant'Ilario dello Ionio all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
