Monasterace comune,Monasterace comune.1
,
Monasterace – Veduta,Monasterace – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Carlo Alberto Murdolo (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,38°27′13″N 16°33′11″E
Altitudine,138 m s.l.m.
Superficie,"15,73 km²"
Abitanti,3 234[1] (30-11-2025)
Densità,"205,59 ab./km²"
Frazioni,"Monasterace Marina, Campomarzio"
Comuni confinanti,"Guardavalle (CZ), Stilo"
Altre informazioni,Altre informazioni
Cod. postale,89040
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080052
Cod. catastale,F324
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 943 GG[3]"
Nome abitanti,monasteracesi
Patrono,sant'Andrea Avellino
Giorno festivo,10 novembre e 12 maggio
Cartografia,Cartografia
Monasterace,Monasterace
Monasterace – MappaPosizione del comune di Monasterace all'interno della città metropolitana di Reggio Calabria,Monasterace – MappaPosizione del comune di Monasterace all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
