San Roberto comune,San Roberto comune.1
,
San Roberto – Veduta,San Roberto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Antonino Micari (lista civica Insieme per San Roberto) dal 21-9-2020
Territorio,Territorio
Coordinate,38°12′20.54″N 15°46′51.62″E
Altitudine,280 m s.l.m.
Superficie,"34,64 km²"
Abitanti,1 478[1] (30-11-2025)
Densità,"42,67 ab./km²"
Frazioni,"Acquacalda, Colelli, Melìa, S. Angelo, Samperi, Rumìa"
Comuni confinanti,"Calanna, Fiumara, Laganadi, Santo Stefano in Aspromonte, Scilla"
Altre informazioni,Altre informazioni
Cod. postale,89050
Prefisso,0965
Fuso orario,UTC+1
Codice ISTAT,080077
Cod. catastale,I139
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,sanrobertesi (sarrubertoti in dialetto reggino)
Patrono,San Giorgio
Giorno festivo,primo lunedì di agosto
Cartografia,Cartografia
San Roberto,San Roberto
San Roberto – MappaPosizione del comune di San Roberto all'interno della città metropolitana di Reggio Calabria.,San Roberto – MappaPosizione del comune di San Roberto all'interno della città metropolitana di Reggio Calabria.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
