Roccella Ionica comune,Roccella Ionica comune.1
,
Roccella Ionica – VedutaPanoramica di Roccella Ionica,Roccella Ionica – VedutaPanoramica di Roccella Ionica
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Vittorio Zito (lista civica) dal 28-5-2019
Territorio,Territorio
Coordinate,38°19′N 16°24′E
Altitudine,16 m s.l.m.
Superficie,"37,82 km²"
Abitanti,6 121[1] (30-11-2025)
Densità,"161,85 ab./km²"
Frazioni,"Bosco Catalano, Canne, Cutunizza, Ferraro, Mancino, Serulline, Spanò"
Comuni confinanti,"Caulonia, Gioiosa Ionica, Marina di Gioiosa Ionica, Martone, Nardodipace (VV)"
Altre informazioni,Altre informazioni
Cod. postale,89047
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080067
Cod. catastale,H456
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona B, 793 GG[3]"
Nome abitanti,"roccellesi (roccejoti, in dialetto roccellese)"
Patrono,San Vittore di Marsiglia
Giorno festivo,21 luglio
Cartografia,Cartografia
Roccella Ionica,Roccella Ionica
Roccella Ionica – MappaPosizione del comune di Roccella Ionica all'interno della città metropolitana di Reggio Calabria,Roccella Ionica – MappaPosizione del comune di Roccella Ionica all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
