Sant'Alessio in Aspromonte comune,Sant'Alessio in Aspromonte comune.1
,
Sant'Alessio in Aspromonte – VedutaVista del paese,Sant'Alessio in Aspromonte – VedutaVista del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Francesco Marra (lista civica Il Tiglio) dal 10-6-2024
Territorio,Territorio
Coordinate,38°10′40.62″N 15°45′35.27″E
Altitudine,567 m s.l.m.
Superficie,"3,99 km²"
Abitanti,303[1] (30-11-2025)
Densità,"75,94 ab./km²"
Comuni confinanti,"Laganadi, Reggio Calabria, Santo Stefano in Aspromonte"
Altre informazioni,Altre informazioni
Cod. postale,89050
Prefisso,0965
Fuso orario,UTC+1
Codice ISTAT,080080
Cod. catastale,I214
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,alessini oppure santalessoti
Patrono,sant'Alessio di Roma
Giorno festivo,terza domenica di agosto
Cartografia,Cartografia
Sant'Alessio in Aspromonte,Sant'Alessio in Aspromonte
Sant'Alessio in Aspromonte – MappaPosizione del comune di Sant'Alessio in Aspromonte all'interno della città metropolitana di Reggio Calabria,Sant'Alessio in Aspromonte – MappaPosizione del comune di Sant'Alessio in Aspromonte all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
