Cosoleto comune,Cosoleto comune.1
,
Cosoleto – VedutaSede del comune,Cosoleto – VedutaSede del comune
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,"Angelo Surace (lista civica ""Punto e a capo"") dal 18-11-2024"
Territorio,Territorio
Coordinate,38°14′00.68″N 15°54′50.03″E
Altitudine,440 m s.l.m.
Superficie,"34,37 km²"
Abitanti,730[1] (30-11-2025)
Densità,"21,24 ab./km²"
Frazioni,"Acquaro, Sitizano"
Comuni confinanti,"Africo, Delianuova, Oppido Mamertina, Roghudi, Samo, San Luca, San Procopio, Santa Cristina d'Aspromonte, Scido, Sinopoli"
Altre informazioni,Altre informazioni
Cod. postale,89050
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080030
Cod. catastale,D089
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,cosoletani
Patrono,san Sebastiano martire
Giorno festivo,20 gennaio
Cartografia,Cartografia
Cosoleto,Cosoleto
Cosoleto – MappaPosizione del comune di Cosoleto all'interno della città metropolitana di Reggio Calabria,Cosoleto – MappaPosizione del comune di Cosoleto all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
