Casignana comune,Casignana comune.1
,
Casignana – Veduta,Casignana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Giuseppe Rocco Celentano (lista civica) dal 22-9-2020
Data di istituzione,19-12-1807
Territorio,Territorio
Coordinate,38°06′58.94″N 16°06′18.36″E
Altitudine,342 m s.l.m.
Superficie,"24,54 km²"
Abitanti,679[1] (30-11-2025)
Densità,"27,67 ab./km²"
Comuni confinanti,"Bianco, Bovalino, Caraffa del Bianco, San Luca, Sant'Agata del Bianco"
Altre informazioni,Altre informazioni
Cod. postale,89030
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080024
Cod. catastale,B966
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 187 GG[3]"
Nome abitanti,casignanesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Casignana,Casignana
Casignana – MappaPosizione del comune di Casignana all'interno della città metropolitana di Reggio Calabria,Casignana – MappaPosizione del comune di Casignana all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
