Agnana Calabra comune,Agnana Calabra comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Giuseppe Nicola Cusato (lista civica Uniti per Agnana) dal 10-6-2024
Territorio,Territorio
Coordinate,38°18′N 16°13′E
Altitudine,210 m s.l.m.
Superficie,"8,49 km²"
Abitanti,448[1] (30-11-2025)
Densità,"52,77 ab./km²"
Comuni confinanti,"Canolo, Gerace, Mammola, Siderno"
Altre informazioni,Altre informazioni
Cod. postale,89040
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080002
Cod. catastale,A077
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 093 GG[3]"
Nome abitanti,agnanesi
Patrono,"san Basilio Magno, Maria SS. della Misericordia"
Giorno festivo,"14 giugno, 18 agosto"
Cartografia,Cartografia
Agnana Calabra,Agnana Calabra
Agnana Calabra – MappaPosizione del comune di Agnana Calabra all'interno della città metropolitana di Reggio Calabria,Agnana Calabra – MappaPosizione del comune di Agnana Calabra all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
