Anoia comune,Anoia comune.1
,
Anoia – Veduta,Anoia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Alessandro Demarzo (lista civica) dal 1-6-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,38°26′N 16°05′E
Altitudine,210 m s.l.m.
Superficie,"10,17 km²"
Abitanti,1 994[1] (30-11-2025)
Densità,"196,07 ab./km²"
Frazioni,"Anoia Inferiore, Anoia Superiore"
Comuni confinanti,"Cinquefrondi, Feroleto della Chiesa, Giffone, Maropati, Melicucco, Polistena"
Altre informazioni,Altre informazioni
Cod. postale,89020
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080003
Cod. catastale,A303
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 026 GG[3]"
Nome abitanti,"anoiani, sanoiesi"
Patrono,san Nicola
Cartografia,Cartografia
Anoia,Anoia
Anoia – MappaPosizione del comune di Anoia all'interno della città metropolitana di Reggio Calabria,Anoia – MappaPosizione del comune di Anoia all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
