Riace comune,Riace comune.1
,
Riace – Veduta,Riace – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Domenico Lucano (Lista civica di sinistra) dall'11-6-2024
Data di istituzione,4-5-1811
Territorio,Territorio
Coordinate,38°25′05″N 16°28′52″E
Altitudine,300 m s.l.m.
Superficie,"16,24 km²"
Abitanti,1 788[1] (30-11-2025)
Densità,"110,1 ab./km²"
Frazioni,Riace Marina
Comuni confinanti,"Camini, Stignano"
Altre informazioni,Altre informazioni
Cod. postale,89040
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080064
Cod. catastale,H265
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 091 GG[3]"
Nome abitanti,riacesi
Patrono,santi Cosma e Damiano
Giorno festivo,26 settembre
Cartografia,Cartografia
Riace,Riace
Riace – MappaPosizione del comune di Riace all'interno della città metropolitana di Reggio Calabria,Riace – MappaPosizione del comune di Riace all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
