San Procopio comune,San Procopio comune.1
,
San Procopio – VedutaIl Municipio,San Procopio – VedutaIl Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Francesco Posterino (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,38°17′N 15°54′E
Altitudine,352 m s.l.m.
Superficie,"11,36 km²"
Abitanti,468[1] (30-11-2025)
Densità,"41,2 ab./km²"
Comuni confinanti,"Cosoleto, Melicuccà, Oppido Mamertina, Sant'Eufemia d'Aspromonte, Seminara, Sinopoli"
Altre informazioni,Altre informazioni
Cod. postale,89020
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080076
Cod. catastale,I132
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,sanprocopiesi
Patrono,san Procopio
Giorno festivo,8 luglio
Cartografia,Cartografia
San Procopio,San Procopio
San Procopio – MappaPosizione del comune di San Procopio all'interno della città metropolitana di Reggio Calabria,San Procopio – MappaPosizione del comune di San Procopio all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
