Bivongi comune,Bivongi comune.1
,
Bivongi – VedutaPanorama di Bivongi con lo Stilaro.,Bivongi – VedutaPanorama di Bivongi con lo Stilaro.
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Grazia Zaffino (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,38°29′N 16°27′E
Altitudine,270 m s.l.m.
Superficie,"25,35 km²"
Abitanti,1 132[1] (30-11-2025)
Densità,"44,65 ab./km²"
Comuni confinanti,"Guardavalle (CZ), Pazzano, Stilo"
Altre informazioni,Altre informazioni
Cod. postale,89040
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080010
Cod. catastale,A897
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 029 GG[3]"
Nome abitanti,bivongesi
Patrono,Maria SS. Mamma Nostra e san Giovanni Battista
Giorno festivo,8 settembre e 5 febbraio (Maria Mamma Nostra) e 24 giugno (San Giovanni)
Cartografia,Cartografia
Bivongi,Bivongi
Bivongi – MappaPosizione del comune di Bivongi all'interno della città metropolitana di Reggio Calabria,Bivongi – MappaPosizione del comune di Bivongi all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
