San Giorgio Morgeto comune,San Giorgio Morgeto comune.1
,
San Giorgio Morgeto – VedutaIl borgo di San Giorgio Morgeto,San Giorgio Morgeto – VedutaIl borgo di San Giorgio Morgeto
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Salvatore Valerioti (lista civica Obiettivo comune) dal 7-11-2021
Territorio,Territorio
Coordinate,38°23′N 16°06′E
Altitudine,512 m s.l.m.
Superficie,"35,4 km²"
Abitanti,2 946[1] (30-11-2025)
Densità,"83,22 ab./km²"
Comuni confinanti,"Canolo, Cinquefrondi, Cittanova, Mammola, Polistena"
Altre informazioni,Altre informazioni
Cod. postale,89017
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080071
Cod. catastale,H889
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,sangiorgesi
Patrono,San Giorgio e San Giacomo il Maggiore
Giorno festivo,23 aprile e 25 luglio
Cartografia,Cartografia
San Giorgio Morgeto,San Giorgio Morgeto
San Giorgio Morgeto – MappaPosizione del comune di San Giorgio Morgeto all'interno della città metropolitana di Reggio Calabria,San Giorgio Morgeto – MappaPosizione del comune di San Giorgio Morgeto all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
