Laureana di Borrello comune,Laureana di Borrello comune.1
,
Laureana di Borrello – VedutaVeduta di Laureana,Laureana di Borrello – VedutaVeduta di Laureana
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Alberto Morano (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,38°29′31″N 16°04′52″E
Altitudine,270 m s.l.m.
Superficie,"35,69 km²"
Abitanti,4 548[1] (30-11-2025)
Densità,"127,43 ab./km²"
Frazioni,"Bellantone, Sant'Anna, Stelletanone"
Comuni confinanti,"Candidoni, Feroleto della Chiesa, Galatro, Rosarno, San Pietro di Caridà, Serrata"
Altre informazioni,Altre informazioni
Cod. postale,89023
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080042
Cod. catastale,E479
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,Laureanesi
Patrono,san Gregorio Taumaturgo e Maria S.S. del Carmine
Giorno festivo,17 novembre
Cartografia,Cartografia
Laureana di Borrello,Laureana di Borrello
Laureana di Borrello – MappaPosizione del comune di Laureana di Borrello all'interno della città metropolitana di Reggio Calabria,Laureana di Borrello – MappaPosizione del comune di Laureana di Borrello all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
