Sant'Eufemia d'Aspromonte comune,Sant'Eufemia d'Aspromonte comune.1
,
Sant'Eufemia d'Aspromonte – Veduta,Sant'Eufemia d'Aspromonte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Pietro Violi (Il paese che vogliamo) dal 28-11-2022
Territorio,Territorio
Coordinate,38°16′N 15°52′E
Altitudine,450 m s.l.m.
Superficie,"32,88 km²"
Abitanti,3 636[1] (30-11-2025)
Densità,"110,58 ab./km²"
Frazioni,"Badia, C. da San Luca, Covala, San Bartolomeo, Sant'Oreste"
Comuni confinanti,"Bagnara Calabra, Melicuccà, San Procopio, Scilla, Sinopoli"
Altre informazioni,Altre informazioni
Cod. postale,89027
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080081
Cod. catastale,I333
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,"eufemiesi, femioti"
Patrono,sant'Eufemia di Calcedonia
Giorno festivo,16 settembre
Cartografia,Cartografia
Sant'Eufemia d'Aspromonte,Sant'Eufemia d'Aspromonte
Sant'Eufemia d'Aspromonte – MappaPosizione del comune di Sant'Eufemia d'Aspromonte all'interno della città metropolitana di Reggio Calabria,Sant'Eufemia d'Aspromonte – MappaPosizione del comune di Sant'Eufemia d'Aspromonte all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
