Condofuri comune,Condofuri comune.1
,
Condofuri – Veduta,Condofuri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Antonia Maria Grazia Surace (commissario prefettizio) dal 16-8-2025
Data di istituzione,1816
Territorio,Territorio
Coordinate,38°00′N 15°52′E
Altitudine,339 m s.l.m.
Superficie,"60,3 km²"
Abitanti,4 483[1] (30-11-2025)
Densità,"74,34 ab./km²"
Frazioni,"Amendolea, Condofuri Marina, Gallicianò, San Carlo (Condofuri)."
Comuni confinanti,"Bova, Bova Marina, Roccaforte del Greco, Roghudi, San Lorenzo"
Altre informazioni,Altre informazioni
Cod. postale,89030
Prefisso,0965
Fuso orario,UTC+1
Codice ISTAT,080029
Cod. catastale,C954
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 323 GG[3]"
Nome abitanti,condofuresi (condofurioti in dialetto reggino)
Patrono,san Domenico
Giorno festivo,4 agosto
Cartografia,Cartografia
Condofuri,Condofuri
Condofuri – MappaPosizione del comune di Condofuri all'interno della città metropolitana di Reggio Calabria,Condofuri – MappaPosizione del comune di Condofuri all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
