Mirano comune,Mirano comune.1
(dettagli),(dettagli)
Mirano – VedutaPiazza Martiri della Libertà,Mirano – VedutaPiazza Martiri della Libertà
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Città metropolitana,Venezia
Amministrazione,Amministrazione
Sindaco,Tiziano Baggio (centro-sinistra) dal 13-6-2022
Territorio,Territorio
Coordinate,45°29′33.9″N 12°06′35.57″E
Altitudine,9 m s.l.m.
Superficie,"45,63 km²"
Abitanti,27 139[1] (30-11-2025)
Densità,"594,76 ab./km²"
Frazioni,"Ballò, Campocroce, Scaltenigo, Vetrego, Zianigo"
Comuni confinanti,"Martellago, Mira, Noale, Pianiga, Salzano, Santa Maria di Sala, Spinea"
Altre informazioni,Altre informazioni
Cod. postale,30035
Prefisso,041
Fuso orario,UTC+1
Codice ISTAT,027024
Cod. catastale,F241
Targa,VE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 541 GG[3]"
Nome abitanti,miranesi
Patrono,san Michele arcangelo
Giorno festivo,il lunedì concomitante alla fiera di San Matteo
Cartografia,Cartografia
Mirano,Mirano
Mirano – MappaPosizione del comune di Mirano nella città metropolitana di Venezia,Mirano – MappaPosizione del comune di Mirano nella città metropolitana di Venezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
