Noventa di Piave comune,Noventa di Piave comune.1
(dettagli),(dettagli)
"Noventa di Piave – VedutaVeduta del centro di Noventa di Piave: in primo piano la chiesa di San Mauro, sullo sfondo il municipio","Noventa di Piave – VedutaVeduta del centro di Noventa di Piave: in primo piano la chiesa di San Mauro, sullo sfondo il municipio"
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Città metropolitana,Venezia
Amministrazione,Amministrazione
Sindaco,Claudio Marian (centro-sinistra) dall'11-6-2017
Territorio,Territorio
Coordinate,45°40′N 12°32′E
Altitudine,3 m s.l.m.
Superficie,18 km²
Abitanti,7 010[1] (30-11-2025)
Densità,"389,44 ab./km²"
Frazioni,"Ca' Memo, Romanziol, Santa Teresina[2]"
Comuni confinanti,"Fossalta di Piave, Salgareda (TV), San Donà di Piave, Zenson di Piave (TV)"
Altre informazioni,Altre informazioni
Cod. postale,30020
Prefisso,0421
Fuso orario,UTC+1
Codice ISTAT,027027
Cod. catastale,F963
Targa,VE
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 349 GG[4]"
Nome abitanti,noventani
Patrono,san Mauro Martire
Giorno festivo,22 novembre
Cartografia,Cartografia
Noventa di Piave,Noventa di Piave
Noventa di Piave – MappaPosizione del comune di Noventa di Piave nella città metropolitana di Venezia,Noventa di Piave – MappaPosizione del comune di Noventa di Piave nella città metropolitana di Venezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
