Mira comune,Mira comune.1
(dettagli),(dettagli)
Mira – Veduta,Mira – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Città metropolitana,Venezia
Amministrazione,Amministrazione
Sindaco,Marco Dori (centro-sinistra) dal 25-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°26′15.04″N 12°07′58.44″E
Altitudine,6 m s.l.m.
Superficie,"99,14 km²"
Abitanti,37 450[1] (30-11-2025)
Densità,"377,75 ab./km²"
Frazioni,"Borbiago, Gambarare, Malcontenta, Marano Veneziano, Mira Porte, Mira Taglio (sede comunale), Oriago[2]"
Comuni confinanti,"Campagna Lupia, Dolo, Mirano, Pianiga, Spinea, Venezia"
Altre informazioni,Altre informazioni
Cod. postale,30034
Prefisso,041
Fuso orario,UTC+1
Codice ISTAT,027023
Cod. catastale,F229
Targa,VE
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 541 GG[4]"
Nome abitanti,miresi
Patrono,san Nicolò
Giorno festivo,6 dicembre
Cartografia,Cartografia
Mira,Mira
Mira – MappaPosizione del comune di Mira nella città metropolitana di Venezia,Mira – MappaPosizione del comune di Mira nella città metropolitana di Venezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
