Cavallino-Treporti comune,Cavallino-Treporti comune.1
(dettagli),(dettagli)
Cavallino-Treporti – VedutaLa chiesa parrocchiale di Treporti,Cavallino-Treporti – VedutaLa chiesa parrocchiale di Treporti
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Città metropolitana,Venezia
Amministrazione,Amministrazione
Capoluogo,Ca' Savio
Sindaco,Roberta Nesto (Lega) dal 1-6-2015
Data di istituzione,1999
Territorio,Territorio
Coordinate del capoluogo,45°27′13.22″N 12°27′13.84″E
Altitudine,2 m s.l.m.
Superficie,"44,71 km²"
Abitanti,13 107[1] (30-11-2025)
Densità,"293,16 ab./km²"
Frazioni,"Ca' Ballarin, Ca' Pasquali, Ca' Savio, Ca' di Valle, Ca' Vio, Cavallino, Lio Grando, Lio Piccolo, Mesole, Punta Sabbioni, Saccagnana, Treporti[2]"
Comuni confinanti,"Jesolo, Venezia"
Altre informazioni,Altre informazioni
Cod. postale,30013
Prefisso,041
Fuso orario,UTC+1
Codice ISTAT,027044
Cod. catastale,M308
Targa,VE
Cl. sismica,zona 3 (sismicità bassa)[3]
Nome abitanti,cavallinotti - treportini
Patrono,san Francesco d'Assisi
Giorno festivo,4 ottobre
Cartografia,Cartografia
Ca' Savio,Ca' Savio
Cavallino-Treporti – MappaPosizione del comune di Cavallino-Treporti nella città metropolitana di Venezia,Cavallino-Treporti – MappaPosizione del comune di Cavallino-Treporti nella città metropolitana di Venezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
