Stra comune,Stra comune.1
(dettagli),(dettagli)
Stra – VedutaVilla Pisani,Stra – VedutaVilla Pisani
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Città metropolitana,Venezia
Amministrazione,Amministrazione
Sindaco,Andrea Salmaso (centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,45°24′39.03″N 12°02′04.91″E
Altitudine,9 m s.l.m.
Superficie,"8,82 km²"
Abitanti,7 518[1] (30-11-2025)
Densità,"852,38 ab./km²"
Frazioni,"Paluello, San Pietro"
Comuni confinanti,"Dolo, Fiesso d'Artico, Fossò, Noventa Padovana (PD), Vigonovo, Vigonza (PD)"
Altre informazioni,Altre informazioni
Cod. postale,30039
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,027039
Cod. catastale,I965
Targa,VE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 423 GG[3]"
Nome abitanti,straensi
Patrono,san Lorenzo e santa Marta
Cartografia,Cartografia
Stra,Stra
Stra – MappaPosizione del comune di Stra nella città metropolitana di Venezia,Stra – MappaPosizione del comune di Stra nella città metropolitana di Venezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
