Fossalta di Portogruaro comune,Fossalta di Portogruaro comune.1
(dettagli),(dettagli)
Fossalta di Portogruaro – Veduta,Fossalta di Portogruaro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Città metropolitana,Venezia
Amministrazione,Amministrazione
Sindaco,Annamaria Ambrosio (lista civica Con Fossalta) dal 10-06-2024
Territorio,Territorio
Coordinate,45°47′N 12°55′E
Altitudine,8 m s.l.m.
Superficie,"31,1 km²"
Abitanti,5 756[1] (30-11-2025)
Densità,"185,08 ab./km²"
Frazioni,"Alvisopoli, Fratta, Gorgo, Sacilato, Stiago, Vado, Viatte-Torresella, Villanova Santa Margherita, Villanova Sant'Antonio"
Comuni confinanti,"Morsano al Tagliamento (PN), Portogruaro, San Michele al Tagliamento, Teglio Veneto"
Altre informazioni,Altre informazioni
Cod. postale,30025
Prefisso,0421
Fuso orario,UTC+1
Codice ISTAT,027016
Cod. catastale,D741
Targa,VE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 649 GG[3]"
Nome abitanti,fossaltesi o fossaltini
Patrono,san Zenone
Giorno festivo,12 aprile
Cartografia,Cartografia
Fossalta di Portogruaro,Fossalta di Portogruaro
Fossalta di Portogruaro – MappaPosizione del comune di Fossalta di Portogruaro nella città metropolitana di Venezia,Fossalta di Portogruaro – MappaPosizione del comune di Fossalta di Portogruaro nella città metropolitana di Venezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
