Fossalta di Piave comune,Fossalta di Piave comune.1
(dettagli),(dettagli)
Fossalta di Piave – Veduta,Fossalta di Piave – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Città metropolitana,Venezia
Amministrazione,Amministrazione
Sindaco,Alessandra Sartoretto (centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,45°38′51″N 12°30′44.28″E
Altitudine,5 m s.l.m.
Superficie,"9,64 km²"
Abitanti,4 243[1] (30-11-2025)
Densità,"440,15 ab./km²"
Frazioni,"nessuna Località: Campolongo, Capodargine, Contee, Gonfo, Lampol, Ronche[2]"
Comuni confinanti,"Meolo, Monastier di Treviso (TV), Musile di Piave, Noventa di Piave, San Donà di Piave, Zenson di Piave (TV)"
Altre informazioni,Altre informazioni
Cod. postale,30020
Prefisso,0421
Fuso orario,UTC+1
Codice ISTAT,027015
Cod. catastale,D740
Targa,VE
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 348 GG[4]"
Nome abitanti,fossaltini
Patrono,santi Ermagora e Fortunato
Giorno festivo,12 luglio
Cartografia,Cartografia
Fossalta di Piave,Fossalta di Piave
Fossalta di Piave – MappaPosizione del comune di Fossalta di Piave nella città metropolitana di Venezia,Fossalta di Piave – MappaPosizione del comune di Fossalta di Piave nella città metropolitana di Venezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
