Torre di Mosto comune,Torre di Mosto comune.1
(dettagli),(dettagli)
Torre di Mosto – Veduta,Torre di Mosto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Città metropolitana,Venezia
Amministrazione,Amministrazione
Sindaco,Maurizio Mazzarotto (centro destra) dal 22-9-2020
Territorio,Territorio
Coordinate,45°41′N 12°43′E
Altitudine,2 m s.l.m.
Superficie,38 km²
Abitanti,4 759[1] (30-11-2025)
Densità,"125,24 ab./km²"
Frazioni,"Sant'Anna di Boccafossa, Staffolo Località: Sant'Elena, Senzielli, Tezze[2]"
Comuni confinanti,"Caorle, Ceggia, Cessalto (TV), Eraclea, San Donà di Piave, San Stino di Livenza"
Altre informazioni,Altre informazioni
Cod. postale,30020
Prefisso,0421
Fuso orario,UTC+1
Codice ISTAT,027041
Cod. catastale,L267
Targa,VE
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 649 GG[4]"
Nome abitanti,torresani
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Torre di Mosto,Torre di Mosto
Torre di Mosto – MappaPosizione del comune di Torre di Mosto nella città metropolitana di Venezia,Torre di Mosto – MappaPosizione del comune di Torre di Mosto nella città metropolitana di Venezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
