Dolo comune,Dolo comune.1
(dettagli),(dettagli)
Dolo – Veduta,Dolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Città metropolitana,Venezia
Amministrazione,Amministrazione
Sindaco,Gianluigi Naletto (centro-sinistra) dal 4-10-2021
Territorio,Territorio
Coordinate,45°25′29.57″N 12°04′32.92″E
Altitudine,7 m s.l.m.
Superficie,"24,28 km²"
Abitanti,14 992[1] (30-11-2025)
Densità,"617,46 ab./km²"
Frazioni,"Arino, Sambruson[2]"
Comuni confinanti,"Campagna Lupia, Camponogara, Fiesso d'Artico, Fossò, Mira, Pianiga, Stra"
Altre informazioni,Altre informazioni
Cod. postale,30031
Prefisso,041
Fuso orario,UTC+1
Codice ISTAT,027012
Cod. catastale,D325
Targa,VE
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 467 GG[4]"
Nome abitanti,dolesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Dolo,Dolo
Dolo – MappaPosizione del comune di Dolo nella città metropolitana di Venezia,Dolo – MappaPosizione del comune di Dolo nella città metropolitana di Venezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
