Laces comune,Laces comune.1
(IT) Laces (DE) Latsch,(IT) Laces (DE) Latsch
,
Laces – Veduta,Laces – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Mauro Dalla Barba (SVP) dal 22-9-2020 (2º mandato dal 4-5-2025)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°37′02.44″N 10°51′34.34″E
Altitudine,639 m s.l.m.
Superficie,"78,71 km²"
Abitanti,5 273[1] (30-11-2025)
Densità,"66,99 ab./km²"
Frazioni,"Coldrano, Morter, San Martino al Monte, Tarres"
Comuni confinanti,"Castelbello-Ciardes, Martello, Senales, Silandro, Ultimo"
Altre informazioni,Altre informazioni
Cod. postale,39021
Prefisso,0473
Fuso orario,UTC+1
Codice ISTAT,021037
Cod. catastale,E398
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 443 GG[3]"
Nome abitanti,(IT) lacesini (DE) Latscher[4]
Cartografia,Cartografia
Laces,Laces
Laces – MappaPosizione del comune di Laces nella provincia autonoma di Bolzano,Laces – MappaPosizione del comune di Laces nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
