Rio di Pusteria comune,Rio di Pusteria comune.1
(IT) Rio di Pusteria (DE) Mühlbach,(IT) Rio di Pusteria (DE) Mühlbach
,
Rio di Pusteria – Veduta,Rio di Pusteria – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Heinrich Seppi (SVP) dal 22-09-2020 (2° mandato dal 4-5-2025)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°47′45.41″N 11°40′00.58″E
Altitudine,777 m s.l.m.
Superficie,"83,82 km²"
Abitanti,3 330[1] (30-11-2025)
Densità,"39,73 ab./km²"
Frazioni,"Maranza (Meransen), Spinga (Spinges), Valles (Vals)"
Comuni confinanti,"Campo di Trens, Fortezza, Naz-Sciaves, Rodengo, Val di Vizze, Vandoies"
Altre informazioni,Altre informazioni
Cod. postale,39037
Prefisso,0472
Fuso orario,UTC+1
Codice ISTAT,021074
Cod. catastale,H299
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 646 GG[3]"
Nome abitanti,(IT) riopusteresi (DE) Mühlbacher[4]
Cartografia,Cartografia
Rio di Pusteria,Rio di Pusteria
Rio di Pusteria – MappaPosizione del comune di Rio di Pusteria nella provincia autonoma di Bolzano,Rio di Pusteria – MappaPosizione del comune di Rio di Pusteria nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
