Nova Ponente comune,Nova Ponente comune.1
(IT) Nova Ponente (DE) Deutschnofen,(IT) Nova Ponente (DE) Deutschnofen
,
Nova Ponente – VedutaVista del centro abitato,Nova Ponente – VedutaVista del centro abitato
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Bernhard Daum (SVP) dal 24-11-2019 (2º mandato dal 4-5-2025)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°24′50.37″N 11°25′30.65″E
Altitudine,1 357 m s.l.m.
Superficie,"112,49 km²"
Abitanti,4 150[1] (30-11-2025)
Densità,"36,89 ab./km²"
Frazioni,"Ega/Eggen, San Floriano/Obereggen, Monte San Pietro/Petersberg[2]"
Comuni confinanti,"Aldino, Bolzano, Bronzolo, Cornedo all'Isarco, Laives, Nova Levante, Predazzo (TN), Tesero (TN), Ville di Fiemme (TN)"
Altre informazioni,Altre informazioni
Cod. postale,39050
Prefisso,0471
Fuso orario,UTC+1
Codice ISTAT,021059
Cod. catastale,F950
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona F, 4 642 GG[4]"
Nome abitanti,(IT) novaponentani (DE) Deutschnofener
Cartografia,Cartografia
Nova Ponente,Nova Ponente
Nova Ponente – MappaPosizione del comune di Nova Ponente nella provincia autonoma di Bolzano,Nova Ponente – MappaPosizione del comune di Nova Ponente nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
