Lasa comune,Lasa comune.1
(IT) Lasa (DE) Laas,(IT) Lasa (DE) Laas
,
Lasa – VedutaIl paese visto dalla Ferrovia marmifera di Lasa,Lasa – VedutaIl paese visto dalla Ferrovia marmifera di Lasa
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Verena Tröger (SVP) dal 22-9-2020
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°36′59.81″N 10°42′00.57″E
Altitudine,868 m s.l.m.
Superficie,"110,23 km²"
Abitanti,4 193[1] (30-11-2025)
Densità,"38,04 ab./km²"
Frazioni,"Alliz (Allitz), Cengles (Tschengls), Oris (Eyrs), Parnez (Parnetz), Tanas (Tanas), Tarnello (Tarnell)"
Comuni confinanti,"Malles Venosta, Martello, Prato allo Stelvio, Silandro, Sluderno, Stelvio"
Altre informazioni,Altre informazioni
Cod. postale,39023
Prefisso,0473
Fuso orario,UTC+1
Codice ISTAT,021042
Cod. catastale,E457
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 825 GG[3]"
Nome abitanti,(IT) lasini (DE) Laaser[4]
Cartografia,Cartografia
Lasa,Lasa
Lasa – MappaPosizione del comune di Lasa nella provincia autonoma di Bolzano,Lasa – MappaPosizione del comune di Lasa nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
