Nova Levante comune,Nova Levante comune.1
(IT) Nova Levante (DE) Welschnofen,(IT) Nova Levante (DE) Welschnofen
,
Nova Levante – VedutaPanorama,Nova Levante – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Thomas Pardeller (Lista civica Bürgerliste Welschnofen) dal 4-5-2025
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°25′48.84″N 11°32′20.22″E
Altitudine,1 182 m s.l.m.
Superficie,"51,1 km²"
Abitanti,2 102[1] (30-11-2025)
Densità,"41,14 ab./km²"
Comuni confinanti,"Cornedo all'Isarco, Moena (TN), Nova Ponente, Predazzo (TN), San Giovanni di Fassa (TN), Tires"
Altre informazioni,Altre informazioni
Cod. postale,39056
Prefisso,0471
Fuso orario,UTC+1
Codice ISTAT,021058
Cod. catastale,F949
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 4 301 GG[3]"
Nome abitanti,"(IT) novalevantini (DE) Schuffener, Welschnofener"
Cartografia,Cartografia
Nova Levante,Nova Levante
Nova Levante – MappaPosizione del comune di Nova Levante nella provincia autonoma di Bolzano,Nova Levante – MappaPosizione del comune di Nova Levante nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
