Lana comune,Lana comune.1
"(IT, DE) Lana","(IT, DE) Lana"
,
Lana – Veduta,Lana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Helmut Taber (SVP) dal 26-5-2024
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°36′57.67″N 11°08′41.49″E
Altitudine,310 m s.l.m.
Superficie,"36,12 km²"
Abitanti,12 751[1] (30-11-2025)
Densità,"353,02 ab./km²"
Frazioni,"Foiana/Völlan, Pavicolo/Pawigl[2]"
Comuni confinanti,"Cermes, Gargazzone, Lagundo, Marlengo, Merano, Naturno, Parcines, Postal, San Pancrazio, Tesimo"
Altre informazioni,Altre informazioni
Cod. postale,39011
Prefisso,0473
Fuso orario,UTC+1
Codice ISTAT,021041
Cod. catastale,E434
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 904 GG[4]"
Nome abitanti,"(IT) lanesi, lanensi (DE) Lananer[5]"
Cartografia,Cartografia
Lana,Lana
Lana – MappaPosizione del comune di Lana nella provincia autonoma di Bolzano,Lana – MappaPosizione del comune di Lana nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
