Moso in Passiria comune,Moso in Passiria comune.1
(IT) Moso in Passiria (DE) Moos in Passeier,(IT) Moso in Passiria (DE) Moos in Passeier
,
Moso in Passiria – VedutaPanorama,Moso in Passiria – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Stefan Ilmer (SVP) dal 4-5-2025
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°49′54.6″N 11°10′02.25″E
Altitudine,1 007 m s.l.m.
Superficie,"193,53 km²"
Abitanti,2 021[1] (30-11-2025)
Densità,"10,44 ab./km²"
Frazioni,"Corvara (Rabenstein), Plan (Pfelders), Plata (Platt), Stùlles (Stuls), Ulfas (Ulfaß)"
Comuni confinanti,"Parcines, Racines, Rifiano, San Leonardo in Passiria, San Martino in Passiria, Senales, Sölden (AT-7), Tirolo"
Altre informazioni,Altre informazioni
Cod. postale,39013
Prefisso,0473
Fuso orario,UTC+1
Codice ISTAT,021054
Cod. catastale,F766
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 4 058 GG[3]"
Nome abitanti,(IT) mosiani (DE) Mooser[4]
Patrono,Assunzione di Maria
Giorno festivo,15 agosto
Cartografia,Cartografia
Moso in Passiria,Moso in Passiria
Moso in Passiria – MappaPosizione del comune di Moso in Passiria nella provincia autonoma di Bolzano,Moso in Passiria – MappaPosizione del comune di Moso in Passiria nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
