Egna comune,Egna comune.1
(IT) Egna (DE) Neumarkt,(IT) Egna (DE) Neumarkt
,
Egna – Veduta,Egna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Karin Jost (SVP) dal 22-9-2020 (2º mandato dal 4-5-2025)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°19′04″N 11°16′25″E
Altitudine,214 m s.l.m.
Superficie,"23,57 km²"
Abitanti,5 529[1] (30-11-2025)
Densità,"234,58 ab./km²"
Frazioni,"Laghetti (Laag), Mazzon (Mazon), Villa (Vill)"
Comuni confinanti,"Caldaro sulla Strada del Vino, Cortaccia sulla Strada del Vino, Cortina sulla Strada del Vino, Magrè sulla Strada del Vino, Montagna sulla Strada del Vino, Salorno sulla Strada del Vino, Termeno sulla Strada del Vino"
Altre informazioni,Altre informazioni
Cod. postale,39044
Prefisso,0471
Fuso orario,UTC+1
Codice ISTAT,021029
Cod. catastale,D392
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 899 GG[3]"
Nome abitanti,"(IT) egnesi, (DE) Neumarkter[4]"
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Egna,Egna
Egna – MappaPosizione del comune di Egna nella provincia autonoma di Bolzano,Egna – MappaPosizione del comune di Egna nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
