Selva dei Molini comune,Selva dei Molini comune.1
(IT) Selva dei Molini (DE) Mühlwald,(IT) Selva dei Molini (DE) Mühlwald
,
Selva dei Molini – VedutaVeduta del paese dal lago di Selva dei Molini,Selva dei Molini – VedutaVeduta del paese dal lago di Selva dei Molini
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Paul Niederbrunner (SVP) dal 16-5-2010 (4º mandato dal 4-5-2025)
Lingue ufficiali,"Italiano, tedesco"
Territorio,Territorio
Coordinate,46°53′26.69″N 11°51′23.98″E
Altitudine,1 229 m s.l.m.
Superficie,"104,79 km²"
Abitanti,1 368[1] (30-11-2025)
Densità,"13,05 ab./km²"
Frazioni,"Lappago/Lappach, Selva di Fuori/Außermühlwald"
Comuni confinanti,"Campo Tures, Chienes, Falzes, Finkenberg (AT-7), Gais, Terento, Val di Vizze, Valle Aurina, Vandoies"
Altre informazioni,Altre informazioni
Cod. postale,39030
Prefisso,0474
Fuso orario,UTC+1
Codice ISTAT,021088
Cod. catastale,I593
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 4 458 GG[3]"
Nome abitanti,"(IT, DE) Mühlwalder[4]"
Patrono,Santa Gertrude di Nivelles
Giorno festivo,17 marzo
Cartografia,Cartografia
Selva dei Molini,Selva dei Molini
Selva dei Molini – MappaPosizione del comune di Selva dei Molini nella provincia autonoma di Bolzano,Selva dei Molini – MappaPosizione del comune di Selva dei Molini nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
