San Pancrazio comune,San Pancrazio comune.1
(IT) San Pancrazio (DE) St. Pankraz,(IT) San Pancrazio (DE) St. Pankraz
,
San Pancrazio – Veduta,San Pancrazio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Thomas Holzner (SVP) dal 22-9-2020 (4º mandato dal 4-5-2025)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°35′11.45″N 11°05′10.9″E
Altitudine,735 m s.l.m.
Superficie,"63,17 km²"
Abitanti,1 552[1] (30-11-2025)
Densità,"24,57 ab./km²"
Frazioni,"S. Elena/St. Helena, Guggenberg, Gegend, Nörderberg, Buchen, Monte Marano/Maraunberg, Acqua/Zu Wasser, Bad Lad, Bagno di Mezzo/Mitterbad, Alt-Breit"
Comuni confinanti,"Borgo d'Anaunia (TN), Lana, Lauregno, Naturno, Senale-San Felice, Tesimo, Ultimo"
Altre informazioni,Altre informazioni
Cod. postale,39010
Prefisso,0473
Fuso orario,UTC+1
Codice ISTAT,021084
Cod. catastale,I065
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 550 GG[3]"
Nome abitanti,(IT) sanpancraziani (DE) Pankrazer[4]
Patrono,san Pancrazio
Cartografia,Cartografia
San Pancrazio,San Pancrazio
San Pancrazio – MappaPosizione del comune di San Pancrazio nella provincia autonoma di Bolzano,San Pancrazio – MappaPosizione del comune di San Pancrazio nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
