Valle Aurina comune,Valle Aurina comune.1
(IT) Valle Aurina (DE) Ahrntal,(IT) Valle Aurina (DE) Ahrntal
,
Valle Aurina – Veduta,Valle Aurina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Markus Gartner (SVP) dal 6-5-2025
Lingue ufficiali,"italiano, tedesco"
Territorio,Territorio
Coordinate,46°59′45.63″N 11°58′52.47″E
Altitudine,1 054 m s.l.m.
Superficie,"187,89 km²"
Abitanti,6 007[1] (30-11-2025)
Densità,"31,97 ab./km²"
Frazioni,"Cadipietra (Steinhaus), Gisse, Lutago (Luttach), Lutago di Sopra (Oberluttach), Riobianco (Weißenbach), San Giacomo (St. Jakob), San Giovanni (St. Johann), San Pietro (St. Peter)"
Comuni confinanti,"Brandberg (AT-7), Campo Tures, Finkenberg (AT-7), Mayrhofen (AT-7), Predoi, Selva dei Molini"
Altre informazioni,Altre informazioni
Cod. postale,39030
Prefisso,0474
Fuso orario,UTC+1
Codice ISTAT,021108
Cod. catastale,L595
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 4 243 GG[3]"
Nome abitanti,(IT) vallaurinesi (DE) Ahrntaler[4]
Cartografia,Cartografia
Valle Aurina,Valle Aurina
Valle Aurina – MappaPosizione del comune di Valle Aurina nella provincia autonoma di Bolzano,Valle Aurina – MappaPosizione del comune di Valle Aurina nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
