Tirolo comune,Tirolo comune.1
"(IT) Tirolo (DE) Tirol, Dorf Tirol","(IT) Tirolo (DE) Tirol, Dorf Tirol"
,
Tirolo – Veduta,Tirolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Erich Ratschiller (SVP) dal 10-5-2015 (2º mandato dal 22-9-2020)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°41′27.96″N 11°09′15.2″E
Altitudine,594 m s.l.m.
Superficie,"25,62 km²"
Abitanti,2 494[1] (30-11-2025)
Densità,"97,35 ab./km²"
Frazioni,San Pietro / St. Peter
Comuni confinanti,"Caines, Lagundo, Merano, Moso in Passiria, Parcines, Rifiano, Scena"
Altre informazioni,Altre informazioni
Cod. postale,39019
Prefisso,0473
Fuso orario,UTC+1
Codice ISTAT,021101
Cod. catastale,L178
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 307 GG[3]"
Nome abitanti,"(IT) tirolesi (DE) Tiroler, Dorf Tiroler"
Cartografia,Cartografia
Tirolo,Tirolo
Tirolo – MappaPosizione del comune di Tirolo nella provincia autonoma di Bolzano,Tirolo – MappaPosizione del comune di Tirolo nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
