Plaus comune,Plaus comune.1
"(IT, DE) Plaus","(IT, DE) Plaus"
,
Plaus – VedutaLa chiesa del paese,Plaus – VedutaLa chiesa del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Jürgen Klotz (SVP) dal 22-9-2020 (4º mandato)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°39′23.67″N 11°02′29.39″E
Altitudine,519 m s.l.m.
Superficie,"4,87 km²"
Abitanti,756[1] (30-11-2025)
Densità,"155,24 ab./km²"
Comuni confinanti,"Lagundo, Naturno, Parcines"
Altre informazioni,Altre informazioni
Cod. postale,39025
Prefisso,0473
Fuso orario,UTC+1
Codice ISTAT,021064
Cod. catastale,G299
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 134 GG[3]"
Nome abitanti,(IT) plausini (DE) Plauser[4]
Cartografia,Cartografia
Plaus,Plaus
Plaus – MappaPosizione del comune di Plaus nella provincia autonoma di Bolzano,Plaus – MappaPosizione del comune di Plaus nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
