Corvara in Badia comune,Corvara in Badia comune.1
"(IT) Corvara in Badia (LLD, DE) Corvara","(IT) Corvara in Badia (LLD, DE) Corvara"
,
Corvara in Badia – Veduta,Corvara in Badia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Robert Rottonara (Uniun Calfosch-Pescosta-Corvara/SVP) dal 22-9-2020 (3º mandato)
Lingue ufficiali,"Italiano, Ladino, Tedesco"
Territorio,Territorio
Coordinate,46°32′58.47″N 11°52′26.52″E
Altitudine,1 568 m s.l.m.
Superficie,"38,92 km²"
Abitanti,1 433[1] (30-11-2025)
Densità,"36,82 ab./km²"
Frazioni,"Colfosco (lad. Calfosch, ted. Kolfuschg), Pescosta"
Comuni confinanti,"Badia, Canazei (TN), Livinallongo del Col di Lana (BL), San Martino in Badia, Selva di Val Gardena"
Altre informazioni,Altre informazioni
Cod. postale,39033
Prefisso,0471
Fuso orario,UTC+1
Codice ISTAT,021026
Cod. catastale,D079
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 5 135 GG[3]"
Nome abitanti,"(IT) corvaresi, badiotti (DE, LLD) badiot[4]"
Cartografia,Cartografia
Corvara in Badia,Corvara in Badia
Corvara in Badia – MappaPosizione del comune di Corvara in Badia nella provincia autonoma di Bolzano,Corvara in Badia – MappaPosizione del comune di Corvara in Badia nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
