Santa Cristina Valgardena comune,Santa Cristina Valgardena comune.1
(IT) Santa Cristina Valgardena (DE) St. Christina in Gröden (LLD) S. Cristina - Gherdëina,(IT) Santa Cristina Valgardena (DE) St. Christina in Gröden (LLD) S. Cristina - Gherdëina
,
Santa Cristina Valgardena – Veduta,Santa Cristina Valgardena – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Christoph Senoner (SVP) dal 22-9-2020
Lingue ufficiali,"Italiano, Ladino, Tedesco"
Territorio,Territorio
Coordinate,46°33′32.65″N 11°42′55.77″E
Altitudine,1 428 m s.l.m.
Superficie,"31,92 km²"
Abitanti,2 036[1] (30-11-2025)
Densità,"63,78 ab./km²"
Comuni confinanti,"Campitello di Fassa (TN), Castelrotto, Funes, Ortisei, San Martino in Badia, Selva di Val Gardena"
Altre informazioni,Altre informazioni
Cod. postale,39047
Prefisso,0471
Fuso orario,UTC+1
Codice ISTAT,021085
Cod. catastale,I173
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 4 861 GG[3]"
Nome abitanti,(IT) gardenesi (DE) Grödner[4]
Patrono,santa Cristina
Giorno festivo,24 luglio
Cartografia,Cartografia
Santa Cristina Valgardena,Santa Cristina Valgardena
Santa Cristina Valgardena – MappaPosizione del comune di Santa Cristina Valgardena nella provincia autonoma di Bolzano,Santa Cristina Valgardena – MappaPosizione del comune di Santa Cristina Valgardena nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
