Castelbello-Ciardes comune,Castelbello-Ciardes comune.1
(IT) Castelbello-Ciardes (DE) Kastelbell-Tschars,(IT) Castelbello-Ciardes (DE) Kastelbell-Tschars
,
Castelbello-Ciardes – Veduta,Castelbello-Ciardes – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Gustav Erich Tappeiner (SVP) dal 16-5-2010 (4º mandato dal 4-5-2025)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°37′41.9″N 10°54′06.34″E
Altitudine,587 m s.l.m.
Superficie,"53,79 km²"
Abitanti,2 419[1] (30-11-2025)
Densità,"44,97 ab./km²"
Frazioni,"Colsano/Galsaun, Juval, Lacinigo/Latschinig, Maragno/Marein, Montefontana/Tomberg, Montefranco/Freiberg, Montetrumes/Trumsberg"
Comuni confinanti,"Laces, Naturno, Senales, Ultimo"
Altre informazioni,Altre informazioni
Cod. postale,39020
Prefisso,0473
Fuso orario,UTC+1
Codice ISTAT,021018
Cod. catastale,C062
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 267 GG[3]"
Nome abitanti,(IT) castelbellesi (DE) Kastelbeller[4]
Cartografia,Cartografia
Castelbello-Ciardes,Castelbello-Ciardes
Castelbello-Ciardes – MappaPosizione del comune di Castelbello-Ciardes nella provincia autonoma di Bolzano,Castelbello-Ciardes – MappaPosizione del comune di Castelbello-Ciardes nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
