Laion comune,Laion comune.1
(IT) Laion (DE) Lajen,(IT) Laion (DE) Lajen
,
Laion – Veduta,Laion – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Stefan Leiter (SVP) dal 22-9-2020 (3º mandato)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°36′33.22″N 11°33′51.35″E
Altitudine,1 093 m s.l.m.
Superficie,"37,53 km²"
Abitanti,2 828[1] (30-11-2025)
Densità,"75,35 ab./km²"
Frazioni,"Albions, Ceves/Tschöfas, Fraina/Freins, Novale/Ried, San Pietro/St. Peter, Tanurza/Tanirz[2]"
Comuni confinanti,"Barbiano, Castelrotto, Chiusa, Funes, Ortisei, Ponte Gardena, Villandro"
Altre informazioni,Altre informazioni
Cod. postale,39040
Prefisso,0471
Fuso orario,UTC+1
Codice ISTAT,021039
Cod. catastale,E420
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona F, 4 186 GG[4]"
Nome abitanti,(IT) laionesi (DE) Lajerier[5]
Cartografia,Cartografia
Laion,Laion
Laion – MappaPosizione del comune di Laion nella provincia autonoma di Bolzano,Laion – MappaPosizione del comune di Laion nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
