Naz-Sciaves comune,Naz-Sciaves comune.1
(IT) Naz-Sciaves (DE) Natz-Schabs,(IT) Naz-Sciaves (DE) Natz-Schabs
,
Naz-Sciaves – VedutaVista del paese di Naz,Naz-Sciaves – VedutaVista del paese di Naz
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Alexander Überbacher (SVP) dal 15-11-2015 (3º mandato dal 4-5-2025)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°46′10.28″N 11°39′57.3″E
Altitudine,772 m s.l.m.
Superficie,"15,96 km²"
Abitanti,3 523[1] (30-11-2025)
Densità,"220,74 ab./km²"
Frazioni,"Naz, Rasa (Raas), Aica (Aicha), Elvas, Fiumes (Viums), Raut.[2]"
Comuni confinanti,"Bressanone, Fortezza, Luson, Rio di Pusteria, Rodengo, Varna"
Altre informazioni,Altre informazioni
Cod. postale,39040
Prefisso,0472
Fuso orario,UTC+1
Codice ISTAT,021057
Cod. catastale,F856
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona F, 3 637 GG[4]"
Nome abitanti,(IT) natzsciavesini (DE) Natzschabser[5]
Patrono,santa Margherita
Giorno festivo,20 luglio
Cartografia,Cartografia
Naz-Sciaves,Naz-Sciaves
Naz-Sciaves – MappaPosizione del comune di Naz-Sciaves nella provincia autonoma di Bolzano,Naz-Sciaves – MappaPosizione del comune di Naz-Sciaves nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
