Perca comune,Perca comune.1
(IT) Perca (DE) Percha,(IT) Perca (DE) Percha
,
Perca – Veduta,Perca – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Martin Schneider (SVP e civici) dal 22-9-2020
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°47′28.69″N 11°58′57.82″E
Altitudine,972 m s.l.m.
Superficie,"30,36 km²"
Abitanti,1 760[1] (30-11-2025)
Densità,"57,97 ab./km²"
Frazioni,"Nessano (Nasen), Plata (Platten), Montevila (Wielenberg), Rio Liccio (Litschbach), Sopranessano (Aschbach), Vila di Sopra (Oberwielenbach), Vila di Sotto (Unterwielenbach)"
Comuni confinanti,"Brunico, Campo Tures, Gais, Rasun Anterselva"
Altre informazioni,Altre informazioni
Cod. postale,39030
Prefisso,0474
Fuso orario,UTC+1
Codice ISTAT,021063
Cod. catastale,G443
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 966 GG[3]"
Nome abitanti,(IT) di Perca (DE) Perchener[4]
Cartografia,Cartografia
Perca,Perca
Perca – MappaPosizione del comune di Perca nella provincia autonoma di Bolzano,Perca – MappaPosizione del comune di Perca nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
